source_node,target_node,similarity
1056,1794,1.0
1056,88,1.0
1056,401,1.0
1056,1132,1.0
1056,3999,1.0
1172,2838,1.0
1172,3055,1.0
1172,1792,1.0
1172,1806,1.0
1172,2782,1.0
2186,591,1.0
2186,1844,1.0
3443,3814,1.0
3443,2558,1.0
3443,1223,1.0
1378,2448,1.0
1378,1746,1.0
1378,1751,1.0
1527,2102,1.0
1527,3522,1.0
1527,2692,1.0
2779,1967,1.0
2779,2475,1.0
1885,649,1.0
1885,527,1.0
1885,300,1.0
1885,161,1.0
1885,1775,1.0
2951,1717,1.0
2951,1193,1.0
2951,1053,1.0
2467,315,1.0
2467,2527,1.0
2881,3434,1.0
3411,1041,1.0
3411,2595,1.0
3411,3965,1.0
3411,3764,1.0
3411,1959,1.0
3411,412,1.0
2850,1737,1.0
2850,1195,1.0
2850,674,1.0
2988,379,1.0
2899,3016,1.0
2899,3848,1.0
580,1545,1.0
580,3945,1.0
580,2534,1.0
2256,3376,1.0
2256,341,1.0
2256,2379,1.0
2256,1997,1.0
1081,1433,1.0
1081,1719,1.0
963,3460,1.0
963,1415,1.0
685,2435,1.0
685,888,1.0
685,616,1.0
685,3860,1.0
685,60,1.0
362,3454,1.0
362,930,1.0
362,3235,1.0
362,2501,1.0
362,1809,1.0
362,1185,1.0
362,206,1.0
362,621,1.0
1303,111,1.0
1303,106,1.0
1303,50,1.0
1303,2967,1.0
94,1010,1.0
94,2914,1.0
94,434,1.0
94,3227,1.0
94,3575,1.0
2699,2831,1.0
2699,3069,1.0
2699,2660,1.0
2699,1701,1.0
2699,1039,1.0
2699,3090,1.0
2699,2080,1.0
996,975,1.0
996,1333,1.0
2120,1468,1.0
2120,1274,1.0
2120,1505,1.0
3082,3519,1.0
3082,3981,1.0
3082,3684,1.0
3082,3650,1.0
3082,1750,1.0
3082,310,1.0
3082,2434,1.0
1194,2686,1.0
1194,3754,1.0
2013,1623,1.0
2013,106,1.0
713,3635,1.0
713,3803,1.0
713,1761,1.0
713,1010,1.0
713,2281,1.0
713,2594,1.0
713,3727,1.0
1271,111,1.0
1271,3206,1.0
1271,2824,1.0
1271,1365,1.0
1271,3962,1.0
450,3741,1.0
450,3046,1.0
450,3677,1.0
450,3218,1.0
2930,292,1.0
979,1200,1.0
979,3508,1.0
979,3730,1.0
979,2099,1.0
979,2214,1.0
979,3721,1.0
979,1228,1.0
2489,2009,1.0
2489,3694,1.0
3255,1327,1.0
3255,300,1.0
3255,1191,1.0
323,2513,1.0
323,989,1.0
323,1669,1.0
323,1062,1.0
1007,949,1.0
1007,297,1.0
1007,3793,1.0
1007,2980,1.0
1007,2143,1.0
1007,2506,1.0
1007,1890,1.0
1658,3911,1.0
1658,683,1.0
1658,1428,1.0
1658,249,1.0
1658,1212,1.0
1658,1997,1.0
314,1001,1.0
314,459,1.0
3070,3469,1.0
3070,239,1.0
3070,307,1.0
3070,2954,1.0
3070,314,1.0
3696,3200,1.0
3696,739,1.0
3696,2544,1.0
3696,813,1.0
3696,1051,1.0
3696,263,1.0
1997,2192,1.0
1997,3163,1.0
1997,2623,1.0
3241,1272,1.0
3241,3175,1.0
3241,2220,1.0
2617,1127,1.0
2617,263,1.0
12,2975,1.0
12,3485,1.0
244,3432,1.0
244,205,1.0
244,3154,1.0
244,2428,1.0
244,1393,1.0
244,3508,1.0
244,12,1.0
244,544,1.0
